phon	members
pORtsERvjEt	porte-serviette porte-serviettes
pORtet@daR	porte-étendard porte-étendards
pORt°f9j	portefeuille portefeuilles
pORt°m@to	portemanteau portemanteaux
pORtER	porter portèrent
pORt°Ra	portera porteras
pORt°R§	porterons porteront
pORt9R	porteur porteurs
pORt2z	porteuse porteuses
pORtij§	portillon portillons
pORtik	portique portiques
pORtjER	portière portières
pORto	porto portos
pORtoRik5	portoricain portoricains
pORtoRikEn	portoricaine portoricaines
pORtRE	portrait portraits
pORtRERobo	portrait-robot portraits-robots
pORtREtyRe	portraituré portraiturés
pORt8ER	portuaire portuaires
pORtygEz	portugaise portugaises
pORtyl@	portulan portulans
pozada	posada posadas
poz°Ra	posera poseras
poz°R§	poserons poseront
poz9R	poseur poseurs
pozitif	positif positifs
pozisj§	position positions
pozisjOn	positionne positionnent
pozitiv	positive positives
pozitivist	positiviste positivistes
pozitR§	positron positrons
pozoloZi	posologie posologies
poses9R	possesseur possesseurs
posesif	possessif possessifs
posesj§	possession possessions
posesiv	possessive possessives
posibilite	possibilité possibilités
posibl	possible possibles
poseda	posséda possédât
posed@	possédant possédants
posed°Ra	possédera posséderas
pOstit	post it post-it
pOstmodERn	post-moderne postmoderne
pOstpRodyksj§	post-production postproduction
pOsttRomatik	post-traumatique post-traumatiques
pOstdate	postdater postdaté
pOst°kle	poste-clé postes-clés
pOst°Ra	postera posteras
pOst°RE	posterai posterait
pOstfas	postface postfaces
pOstym	posthume posthumes
pOstiS	postiche postiches
pOstje	postier postiers
pOstij§	postillon postillons
pOstijon9R	postillonneur postillonneurs
pOstyl@	postulant postulants
pOstyl@t	postulante postulantes
pOstyla	postulat postulats
pOstyle	postuler postulé
pOstyR	posture postures
pOsteRite	postérité postérités
pod°v5	pot-de-vin pots-de-vin
popuRi	pot-pourri pots-pourris
potabl	potable potables
potaS	potache potaches
potaZ	potage potages
potaZe	potager potagers
potaZER	potagère potagères
pOt	pote potes
pOt°le	potelé potelée
potEle	potelées potelés
pot@s	potence potences
pot@ta	potentat potentats
pOt°Ri	poterie poteries
potERn	poterne poternes
potiS	potiche potiches
potje	potier potiers
pot5	potin potins
potin	potine potines
posj§	potion potions
potiR§	potiron potirons
pote	potée potées
pubEl	poubelle poubelles
pudRE	poudraient poudrait
pudR2z	poudreuse poudreuses
pudRije	poudrier poudriers
pudRwam@	poudroiement poudroiements
pudRwajE	poudroyaient poudroyait
pudRwaj@t	poudroyante poudroyantes
pufE	pouffaient pouffait
puf@t	pouffante pouffantes
pufm@	pouffement pouffements
pufe	pouffer pouffé
puf°RE	poufferais poufferait
puj	pouille pouilles
puj°Ri	pouillerie pouilleries
puj2z	pouilleuse pouilleuses
pujo	pouillot pouillots
puZadist	poujadiste poujadistes
pulaga	poulaga poulagas
pulaje	poulailler poulaillers
pul5	poulain poulains
pulEn	poulaine poulaines
pulaRd	poularde poulardes
pulaRd5	poulardin poulardins
pulbo	poulbot poulbots
pulE	poulet poulets
pulEt	poulette poulettes
puliS	pouliche pouliches
puli	poulie poulies
pulo	poulot poulots
pulp	poulpe poulpes
pum§	poumon poumons
pupaR	poupard poupards
pup§	poupon poupons
pupOn	pouponne pouponnent
pupone	pouponner pouponné
puponjER	pouponnière pouponnières
pupe	poupée poupées
puRbwaR	pourboire pourboires
puRso	pourceau pourceaux
puRs@taZ	pourcentage pourcentages
puRSas	pourchasse pourchassent
puRSas°R§	pourchasserons pourchasseront
puRliS	pourliche pourliches
puRlES	pourlèche pourlèchent
puRleSE	pourléchaient pourléchait
puRleSe	pourlécher pourléchée
puRpaRle	pourparler pourparlers
puRpje	pourpier pourpiers
puRpw5	pourpoint pourpoints
puRpR	pourpre pourpres
puRa	pourra pourras
puRiR	pourrir pourrirent
puRiRa	pourrira pourriras
puRiRE	pourrirai pourrirait
puRiR§	pourrirons pourriront
puRis@	pourrissant pourrissants
puRis@t	pourrissante pourrissantes
puRis	pourrisse pourrissent
puRityR	pourriture pourritures
puR§	pourrons pourront
puRs8i	poursuis poursuit
puRs8it	poursuite poursuites
puRs8iv@	poursuivant poursuivants
puRs8ivRa	poursuivra poursuivras
puRs8ivR§	poursuivrons poursuivront
puRtuR	pourtour pourtours
puRvwaR§	pourvoirons pourvoiront
puRvwajE	pourvoyaient pourvoyait
puRvwaj9R	pourvoyeur pourvoyeurs
pus°Ra	poussera pousseras
pus°R§	pousserons pousseront
pus9R	pousseur pousseurs
pusje	poussier poussiez
pusif	poussif poussifs
pus5	poussin poussins
pusiv	poussive poussives
pusjER	poussière poussières
pusjeR2z	poussiéreuse poussiéreuses
putR	poutre poutres
putREl	poutrelle poutrelles
puvwaR	pouvoir pouvoirs
poEm	poème poèmes
poEt	poète poètes
poezi	poésie poésies
poetEs	poétesse poétesses
poetik	poétique poétiques
poetize	poétiser poétisez
pRezidjOm	praesidium présidium
pRagmatik	pragmatique pragmatiques
pRER	praire praires
pReRi	prairie prairies
pRalin	praline pralines
pRaline	praliné pralinés
pRatikabl	praticable praticables
pRatisj5	praticien praticiens
pRatika	pratiqua pratiquât
pRatik@	pratiquant pratiquants
pR2mje	premier premiers
pR2mjene	premier-né premiers-nés
pR2mjER	première premières
pR°n@	prenant prenants
pR°n@t	prenante prenantes
pR@	prend prends
pR@dRa	prendra prendras
pR@dR§	prendrons prendront
pR°n9R	preneur preneurs
pREsbiteRjEn	presbytérienne presbytériennes
pREskRipsj§	prescription prescriptions
pREskRit	prescrite prescrites
pREskRiv	prescrive prescrivent
pREskRivi	prescrivis prescrivit
pREsa	pressa pressât
pREs@	pressant pressants
pREs@t	pressante pressantes
pREs	presse presses
pREspapje	presse-papier presse-papiers
pREs°m@	pressement pressements
pRes@	pressens pressent
pRes@tim@	pressentiment pressentiments
pResiG	pressing pressings
pREsj§	pression pressions
pREswaR	pressoir pressoirs
pResyR	pressure pressures
pREstatER	prestataire prestataires
pREstasj§	prestation prestations
pREst	preste prestes
pREstidiZitat9R	prestidigitateur prestidigitateurs
pREstidiZitasj§	prestidigitation prestidigitations
pREstiZ	prestige prestiges
pREstiZj2z	prestigieuse prestigieuses
pR9v	preuve preuves
pRija	pria priât
pRijapik	priapique priapiques
pRiRa	priera prieras
pRiR§	prierons prieront
pRij9Re	prieuré prieurés
pRima	prima primat
pRimER	primaire primaires
pRimal	primal primale
pRimat	primate primates
pRimsotje	primesautier primesautiers
pRim9R	primeur primeurs
pRimvER	primevère primevères
pRimitif	primitif primitifs
pRimitiv	primitive primitives
pR5s	prince princes
pR5sEs	princesse princesses
pR5sje	princier princiers
pR5sipote	principauté principautés
pR5sip	principe principes
pR5sjER	princière princières
pR5tanje	printanier printaniers
pR5tanjER	printanière printanières
pRijoRitER	prioritaire prioritaires
pRijoRite	priorité priorités
pRizE	prisaient prisait
pRiz9R	priseur priseurs
pRismatik	prismatique prismatiques
pRizm	prisme prismes
pRiz§	prison prisons
pRizonje	prisonnier prisonniers
pRizonjER	prisonnière prisonnières
pRis	prisse prissent
pRiva	priva privât
pRivatif	privatif privatifs
pRivasj§	privation privations
pRivativ	privative privatives
pRivote	privauté privautés
pRiv°Ra	privera priveras
pRivilEZ	privilège privilèges
pRivileZi	privilégie privilégient
pRo	pro pros
pRobabilite	probabilité probabilités
pRobabl°	probable probables
pRob@	probant probants
pRob@t	probante probantes
pROb	probe probes
pRoblEm	problème problèmes
pRoblematik	problématique problématiques
pROk	proc procs
pRosesj§	procession processions
pRosesjonER	processionnaire processionnaires
pRosesjonEl	processionnelle processionnelles
pRoS5	prochain prochains
pRoSEn	prochaine prochaines
pROS	proche proches
pRoklama	proclama proclamât
pRoklamasj§	proclamation proclamations
pRoklam	proclame proclament
pRok§syl	proconsul proconsuls
pRokReat9R	procréateur procréateurs
pRokReasj§	procréation procréations
pRokReatRis	procréatrice procréatrices
pRokRe	procrée procréent
pRokRee	procréer procréé
pROktolOg	proctologue proctologues
pRokyRa	procura procurât
pRokyRat9R	procurateur procurateurs
pRokyR°Ra	procurera procureras
pRokyR°R§	procurerons procureront
pRokyR9R	procureur procureurs
pRokyR2z	procureuse procureuses
pRosEd	procède procèdent
pRoseda	procéda procédât
pRosed°R§	procéderons procéderont
pROsedyRal	procédural procédurale
pRosedyR	procédure procédures
pRosedyRjER	procédurière procédurières
pRodigalite	prodigalité prodigalités
pRodiZ	prodige prodiges
pRodiZj2z	prodigieuse prodigieuses
pRodig°Ra	prodiguera prodigueras
pRodROm	prodrome prodromes
pRodykt9R	producteur producteurs
pRodyktif	productif productifs
pRodyksj§	production productions
pRodyktiv	productive productives
pRodyktRis	productrice productrices
pRod8iRa	produira produiras
pRod8iR§	produirons produiront
pRod8it	produite produites
pROf	prof profs
pRofanE	profanaient profanait
pRofanat9R	profanateur profanateurs
pRofanasj§	profanation profanations
pRofEsE	professaient professait
pRofEs	professe professent
pRofEs9R	professeur professeurs
pRofEsj§	profession professions
pRofEse	professé professées
pRofilE	profilaient profilait
pRofi	profit profits
pRofita	profita profitât
pRofitabl	profitable profitables
pRofit°Ra	profitera profiteras
pRofit°ROl	profiterole profiteroles
pRofit°R§	profiterons profiteront
pRofit9R	profiteur profiteurs
pRof§	profond profonds
pRof§d	profonde profondes
pRof§d9R	profondeur profondeurs
pRofyz	profuse profuses
pRofyzj§	profusion profusions
pRofER	profère profèrent
pRofeRa	proféra proférât
pRofeRE	proféraient proférait
pRogRamabl	programmable programmables
pRogRamE	programmaient programmait
pRogRamat9R	programmateur programmateurs
pRogRam9R	programmeur programmeurs
pRogREsj§	progression progressions
pRogResist	progressiste progressistes
pRogResiv	progressive progressives
pRoZenityR	progéniture progénitures
pRoib	prohibe prohibent
pRwa	proie proies
pRoZEkt9R	projecteur projecteurs
pRoZEktil	projectile projectiles
pRoZEksj§	projection projections
pRoZEksjonist	projectionniste projectionnistes
pRoZE	projet projets
pRoZ°ta	projeta projetât
pRoZo	projo projos
pRolifik	prolifique prolifiques
pRolifER	prolifère prolifèrent
pRolifeRE	proliféraient proliférait
pRolifeR@	proliférant proliférants
pRolifeR@t	proliférante proliférantes
pRolifeRe	proliférer proliféré
pRoliks	prolixe prolixes
pRolo	prolo prolos
pRol§gasj§	prolongation prolongations
pRol§Za	prolongea prolongeât
pRol§Z°m@	prolongement prolongements
pRol§Z°RE	prolongeraient prolongerait
pRoletER	prolétaire prolétaires
pRoletaRja	prolétariat prolétariats
pRoletaRj5	prolétarien prolétariens
pRoletaRjEn	prolétarienne prolétariennes
pROmnad	promenade promenades
pRomn9R	promeneur promeneurs
pRomn2z	promeneuse promeneuses
pRom°ne	promenez promenés
pRomEs	promesse promesses
pRomE	promet promets
pRomEt9R	prometteur prometteurs
pRomEt2z	prometteuse prometteuses
pRomEtRa	promettra promettras
pRomisk8ite	promiscuité promiscuités
pRomiz	promise promises
pRomo	promo promos
pRom§twaR	promontoire promontoires
pRomot9R	promoteur promoteurs
pRomosj§	promotion promotions
pR§	prompt prompts
pR§t	prompte promptes
pRomEn°Ra	promènera promèneras
pRonominal	pronominal pronominale
pRon§s°Ra	prononcera prononceras
pRon§s°R§	prononcerons prononceront
pRon§sjasj§	prononciation prononciations
pRopag@d	propagande propagandes
pRopag@dist	propagandiste propagandistes
pRopagat9R	propagateur propagateurs
pRopagasj§	propagation propagations
pRopaZ	propage propagent
pRopaZa	propagea propageât
pRopaZE	propageaient propageait
pRopaZ°RE	propageraient propagerait
pRofilaktik	prophylactique prophylactiques
pRofEt	prophète prophètes
pRofesi	prophétie prophéties
pRofetik	prophétique prophétiques
pRofetizE	prophétisaient prophétisait
pRofetiz	prophétise prophétisent
pRopis	propice propices
pRopisjatwaR	propitiatoire propitiatoires
pRopORsj§	proportion proportions
pRopoza	proposa proposât
pRopoz°Ra	proposera proposeras
pRopoz°R§	proposerons proposeront
pRopozisj§	proposition propositions
pROpR	propre propres
pRopRE	propret proprets
pRopREt	proprette proprettes
pRopRijo	proprio proprios
pRopRijetER	propriétaire propriétaires
pRopRijete	propriété propriétés
pRopylsa	propulsa propulsât
pRopyls	propulse propulsent
pRopyls9R	propulseur propulseurs
pRopylsj§	propulsion propulsions
pRoRoZe	proroger prorogé
pRozat9R	prosateur prosateurs
pRozaik	prosaïque prosaïques
pROskRipsj§	proscription proscriptions
pROskRi	proscrit proscrits
pROskRit	proscrite proscrites
pRoz	prose proze
pROspEktE	prospectais prospectait
pROspEkte	prospecter prospecté
pROspEkt9R	prospecteur prospecteurs
pROspeRE	prospéraient prospérait
pROspeRe	prospérer prospéré
pROspeRite	prospérité prospérités
pRostERnasj§	prosternation prosternations
pRostERn	prosterne prosternent
pRostERn°Ra	prosternera prosterneras
pRostERn°R§	prosternerons prosterneront
pROstity	prostitue prostituent
pROstitysj§	prostitution prostitutions
pRostRasj§	prostration prostrations
pRozelit	prosélyte prosélytes
pRotagonist	protagoniste protagonistes
pROt	prote protes
pRotEkt9R	protecteur protecteurs
pRotEksj§	protection protections
pRotEktoRa	protectorat protectorats
pRotEktRis	protectrice protectrices
pRotEsta	protesta protestât
pRotEst@	protestant protestants
pRotEst@t	protestante protestantes
pRotEstasj§	protestation protestations
pRotEz	prothèse prothèses
pRotezist	prothésiste prothésistes
pRotid	protide protides
pRotokolER	protocolaire protocolaires
pRotokOl	protocole protocoles
pRot§	proton protons
pRotoplasm	protoplasme protoplasmes
pRototip	prototype prototypes
pRotybeR@s	protubérance protubérances
pRotybeR@	protubérant protubérants
pRotybeR@t	protubérante protubérantes
pRoteZa	protégea protégeât
pRoteZ°Ra	protégera protégeras
pRoteZ°R§	protégerons protégeront
pRotein	protéine protéines
pROteine	protéiné protéinée
pRotE	protêt protêts
pRu	proue proues
pRuEs	prouesse prouesses
pRut	prout prouts
pRuv°Ra	prouvera prouveras
pRuv°R§	prouverons prouveront
pRov°nE	provenaient provenait
pRov°n@s	provenance provenances
pRovERb	proverbe proverbes
pRovERbjal	proverbial proverbiale
pRovjEn	provienne proviennent
pRov5s	province provinces
pRoviz9R	proviseur proviseurs
pRovizj§	provision provisions
pRovizwaR	provisoire provisoires
pRovo	provo provos
pRovok@t	provocante provocantes
pRovokat9R	provocateur provocateurs
pRovokasj§	provocation provocations
pRovoka	provoqua provoquât
pRovOk°R§	provoquerons provoqueront
pRovedit9R	provéditeur provéditeurs
pROksimal	proximal proximale
pROkso	proxo proxos
pROksenEt	proxénète proxénètes
pRoemin@s	proéminence proéminences
pRoemin@	proéminent proéminents
pRoemin@t	proéminente proéminentes
pRyd	prude prudes
pRyd@s	prudence prudences
pRyd@	prudent prudents
pRyd@t	prudente prudentes
pRyd°Ri	pruderie pruderies
pRydOmEsk	prudhommesque prudhommesques
pRyn	prune prunes
pRyno	pruneau pruneaux
pRynEl	prunelle prunelles
pRyn°lje	prunellier prunelliers
pRynje	prunier pruniers
pRysj5	prussien prussiens
pRysjEn	prussienne prussiennes
pRysik	prussik prussique
pREl	prèle prêles
pRe	pré prés
pRealabl	préalable préalables
pRe@byl	préambule préambules
pReo	préau préaux
pRekER	précaire précaires
pRekosj§	précaution précautions
pRekosjon2z	précautionneuse précautionneuses
pResEpt	précepte préceptes
pResEpt9R	précepteur précepteurs
pResj2z	précieuse précieuses
pResjozite	préciosité préciosités
pResipis	précipice précipices
pResipita	précipita précipitât
pResipitasj§	précipitation précipitations
pResipit°Ra	précipitera précipiteras
pResiza	précisa précisât
pResizj§	précision précisions
pRekOs	précoce précoces
pRekol§bjEn	précolombienne précolombiennes
pRekoniza	préconisa préconisât
pRekyRs9R	précurseur précurseurs
pResEd	précède précèdent
pResed@t	précédente précédentes
pRedat9R	prédateur prédateurs
pRedEstinasj§	prédestination prédestinations
pRedik@	prédicant prédicants
pRedikat9R	prédicateur prédicateurs
pRedikasj§	prédication prédications
pRediksj§	prédiction prédictions
pRedilEksj§	prédilection prédilections
pRediR	prédire prédirent
pRedi	prédis prédit
pRedizE	prédisaient prédisait
pRediz	prédise prédisent
pRedispozisj§	prédisposition prédispositions
pRedominE	prédominaient prédominait
pRedeses9R	prédécesseur prédécesseurs
pRedefini	prédéfini prédéfinies
pReEgzistE	préexistaient préexistait
pReEgzist@	préexistant préexistants
pRefEktyR	préfecture préfectures
pRefE	préfet préfets
pRefigyRE	préfiguraient préfigurait
pRefigyR	préfigure préfigurent
pRefR§tal	préfrontal préfrontale
pRefeRa	préféra préférât
pRefeRabl	préférable préférables
pRefeR@s	préférence préférences
pRefeR@sjEl	préférentiel préférentielle
pRefeR°Ra	préférera préféreras
pReistoRik	préhistorique préhistoriques
pReZydis	préjudice préjudices
pReZydisjabl	préjudiciable préjudiciables
pRelas	prélasse prélassent
pRelase	prélasser prélassez
pRela	prélat prélats
pReliminER	préliminaire préliminaires
pRelyda	préluda préludât
pRelydE	préludaient préludait
pRelyde	préluder préludé
pRelEv	prélève prélèvent
pRelEv°m@	prélèvement prélèvements
pRelEv°RE	prélèveraient prélèverait
pRem@stRyEl	prémenstruel prémenstruelle
pRemolER	prémolaire prémolaires
pRemonisj§	prémonition prémonitions
pRemonitwaR	prémonitoire prémonitoires
pRemeditasj§	préméditation préméditations
pRen§	prénom prénoms
pRenoma	prénomma prénommât
pRenOm	prénomme prénomment
pRenypsjal	prénuptial prénuptiale
pReokypa	préoccupa préoccupât
pReokyp@t	préoccupante préoccupantes
pReokypasj§	préoccupation préoccupations
pRepaRa	prépara préparât
pRepaRat9R	préparateur préparateurs
pRepaRatif	préparatif préparatifs
pRepaRasj§	préparation préparations
pRepaRatwaR	préparatoire préparatoires
pRepaRatRis	préparatrice préparatrices
pRepaR°Ra	préparera prépareras
pRepaR°R§	préparerons prépareront
pRep§deR@	prépondérant prépondérants
pRepozisj§	préposition prépositions
pRepys	prépuce prépuces
pReRogativ	prérogative prérogatives
pRezaZE	présageaient présageait
pRezaZe	présager présagé
pReskolER	préscolaire préscolaires
